Symbol,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
hd,2016/3/24,129.45,130.76,129.23,130.47,2865176,1,0,0
hes,2016/3/24,50.46,52.27,49.69,52.1,3998807,1,0,0
hig,2016/3/24,45.44,45.655,45.12,45.58,2898117,1,0,0
hls,2016/3/24,35.67,35.9,35.06,35.39,786778,1,0,0
hlt,2016/3/24,21.84,22.07,21.65,22.06,7053990,1,0,0
hog,2016/3/24,48.04,48.04,47.175,47.87,1761162,1,0,0
hon,2016/3/24,111.34,111.98,111,111.4,1969558,1,0,0
hot,2016/3/24,81.86,82.85,81.59,82.13,3620391,1,0,0
hp,2016/3/24,56.9,58.19,56.35,58.09,2582451,1,0,0
hpe,2016/3/24,17.41,17.64,17.11,17.58,7612566,1,0,0
hpq,2016/3/24,11.98,12.1,11.715,12.08,10657981,1,0,0
hrb,2016/3/24,26.84,27.085,26.6,26.61,2775506,1,0,0
hrl,2016/3/24,43.55,43.84,43.08,43.28,1257008,1,0,0
hrs,2016/3/24,78.6,79.35,77.8,78.07,668733,1,0,0
hsbc,2016/3/24,31.13,31.26,31.02,31.22,2511937,1,0,0
hsic,2016/3/24,168.31,169.46,166.84,167.98,287477,1,0,0
hst,2016/3/24,16.1,16.25,15.77,16.18,6550943,1,0,0
hsy,2016/3/24,89.16,90.35,89.16,90.07,800758,1,0,0
hum,2016/3/24,182.32,184.66,181.44,184.06,433975,1,0,0
iac,2016/3/24,45.86,46.19,45.02,45.67,589968,1,0,0
ibm,2016/3/24,144.75,148.22,144.48,147.96,4316217,1,0,0
ice,2016/3/24,235.38,236.44,232.85,234.41,473609,1,0,0
iff,2016/3/24,112.59,113.78,111.74,113.24,615955,1,0,0
igt,2016/3/24,17.39,17.79,17.13,17.6,521850,1,0,0
ilmn,2016/3/24,151.9,155.95,149.51,155.33,870126,1,0,0
intc,2016/3/24,31.86,31.95,31.7,31.88,11987637,1,0,0
intu,2016/3/24,101.38,102.12,100.62,101.89,1061291,1,0,0
ip,2016/3/24,40.5,40.82,40.22,40.81,2212821,1,0,0
ipg,2016/3/24,21.57,21.62,21.44,21.52,2765989,1,0,0
ir,2016/3/24,60.75,61.36,60.63,61.32,1316220,1,0,0
irm,2016/3/24,32.7,32.82,32.38,32.76,685401,1,0,0
isrg,2016/3/24,583.32,585,575.74,583.23,295764,1,0,0
itt,2016/3/24,36.55,36.69,35.7701,36.65,897500,1,0,0
itw,2016/3/24,101.44,101.82,101.06,101.44,1238377,1,0,0
ivz,2016/3/24,30.02,30.34,29.82,30.34,1858637,1,0,0
jbht,2016/3/24,85.5,86.1975,85.22,86.01,499379,1,0,0
jbl,2016/3/24,19,19.06,18.835,18.93,2075052,1,0,0
jci,2016/3/24,38,38.34,37.6,38.31,2147252,1,0,0
jcp,2016/3/24,10.9,10.93,10.54,10.91,10972068,1,0,0
jec,2016/3/24,43.35,43.4,42.92,43.27,628583,1,0,0
jnj,2016/3/24,107.83,108.61,107.75,108.3,5208406,1,0,0
jnpr,2016/3/24,25.52,25.55,24.96,25.37,5538104,1,0,0
jns,2016/3/24,14,14.03,13.79,14.01,1004815,1,0,0
joy,2016/3/24,15.04,15.655,14.44,15.61,3087424,1,0,0
jpm,2016/3/24,59.3,59.51,58.87,59.47,11223060,1,0,0
jwn,2016/3/24,55.9,56.13,55.45,55.96,1891115,1,0,0
k,2016/3/24,75.32,75.63,74.68,75.44,1089097,1,0,0
kate,2016/3/24,24.25,24.34,23.62,24.05,1806494,1,0,0
kbh,2016/3/24,13.84,14.05,13.33,13.92,9265957,1,0,0
key,2016/3/24,11.17,11.2,11.01,11.19,8043285,1,0,0
kim,2016/3/24,27.67,27.89,27.52,27.79,1694617,1,0,0
klac,2016/3/24,70.91,70.91,70.11,70.78,765832,1,0,0
kmb,2016/3/24,133.02,133.91,132.82,133.57,902033,1,0,0
kmi,2016/3/24,17.36,18.09,17,18.08,18145943,1,0,0
kmx,2016/3/24,48.21,48.89,47.11,48.85,2170722,1,0,0
ko,2016/3/24,45.34,45.6,45.19,45.59,8677134,1,0,0
kors,2016/3/24,55.81,55.9,55.05,55.55,1807688,1,0,0
kr,2016/3/24,37.18,37.69,37.1,37.65,6420578,1,0,0
kss,2016/3/24,46.26,46.3599,45.57,45.92,1749615,1,0,0
ksu,2016/3/24,84.45,85.39,83.56,84.94,884066,1,0,0
l,2016/3/24,38.36,38.56,38.185,38.37,543667,1,0,0
lb,2016/3/24,85.19,86.47,85.1,85.82,1080819,1,0,0
ldos,2016/3/24,48.8,49.18,48.42,48.9,408132,1,0,0
leg,2016/3/24,46.95,47.2,46.41,47.17,498080,1,0,0
len,2016/3/24,46.54,46.57,45.8501,46.34,2487846,1,0,0
lh,2016/3/24,113.12,114.04,112.16,113.98,462854,1,0,0
lll,2016/3/24,118.71,119.13,117.5,118.39,375677,1,0,0
lltc,2016/3/24,44.01,44.27,43.7701,44.26,799985,1,0,0
lly,2016/3/24,70.65,71.44,70.2,71.12,2157994,1,0,0
lm,2016/3/24,33.81,34.15,33.44,34.01,1135715,1,0,0
lmt,2016/3/24,221.05,221.71,217.14,218,1179081,1,0,0
lnc,2016/3/24,39.17,39.62,38.58,39.27,2798145,1,0,0
low,2016/3/24,74.35,74.88,73.83,74.8,3089292,1,0,0
lpx,2016/3/24,15.71,16.07,15.61,15.8,1936530,1,0,0
lrcx,2016/3/24,78.74,78.9,77.49,78.88,1786747,1,0,0
luk,2016/3/24,15.81,16.08,15.7777,16.03,1811560,1,0,0
luv,2016/3/24,44.35,44.35,43.27,44.07,4840299,1,0,0
lvlt,2016/3/24,50.98,51.66,50.47,51.6,1223682,1,0,0
lxk,2016/3/24,31,31.25,30.81,31.24,366614,1,0,0
lyb,2016/3/24,83.61,85.4,83.28,85.37,2476477,1,0,0
m,2016/3/24,43.48,43.55,42.88,43.475,2214964,1,0,0
ma,2016/3/24,91.3,91.97,91.3,91.9,2154715,1,0,0
mac,2016/3/24,78.5,78.73,78.13,78.56,1102520,1,0,0
mar,2016/3/24,69.02,69.72,68.37,68.64,5205427,1,0,0
mas,2016/3/24,30.84,30.92,30.67,30.91,1643036,1,0,0
mat,2016/3/24,32.37,32.62,32.0907,32.34,3093774,1,0,0
mbi,2016/3/24,8.66,8.735,8.42,8.6901,2587204,1,0,0
mcd,2016/3/24,123.76,124,122.66,123.32,3946516,1,0,0
mchp,2016/3/24,47.57,48.2799,47.31,48.12,975798,1,0,0
mck,2016/3/24,154.02,158.4,153.75,157.29,1334679,1,0,0
mco,2016/3/24,93.52,93.6,91.93,92.94,1668135,1,0,0
mdlz,2016/3/24,40.16,40.16,39.49,39.52,9363398,1,0,0
mdp,2016/3/24,45.39,45.61,44.8425,45.58,149734,1,0,0
mdr,2016/3/24,3.7,4,3.6,3.97,2241962,1,0,0
mdt,2016/3/24,74.02,74.23,73.47,73.97,3402102,1,0,0
met,2016/3/24,42.8,42.8,41.7,42.3,6663535,1,0,0
mhfi,2016/3/24,96.3,96.78,95.93,96.42,1227435,1,0,0
mhk,2016/3/24,185.07,187.05,184.23,186.79,330106,1,0,0
mjn,2016/3/24,81.07,82.04,80.4,81.97,1407282,1,0,0
mkc,2016/3/24,95.52,96.46,95.14,96.34,944271,1,0,0
mlm,2016/3/24,153.03,153.8,150.75,153.67,579202,1,0,0
mmc,2016/3/24,59.28,59.86,59.05,59.8,1446551,1,0,0
mmm,2016/3/24,163.29,164.54,163.047,164.5,1520461,1,0,0
mnk,2016/3/24,59.68,61.46,58.6505,60.06,2123564,1,0,0
mnst,2016/3/24,132.39,132.89,129.25,131.26,1039348,1,0,0
mo,2016/3/24,60.67,61.29,60.51,60.87,4638586,1,0,0
mon,2016/3/24,89.24,90.14,88.65,90.1,2388175,1,0,0
mos,2016/3/24,27.75,27.75,26.8635,27.27,6075401,1,0,0
mpc,2016/3/24,36.94,37.35,36.19,36.87,4602916,1,0,0
